
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:32:42.214708   +0.00474 T   -0.00383 T   -0.00302 T   0.00680 T
   2018-07-18 14:32:44.304493   +0.00518 T   -0.00347 T   -0.00381 T   0.00731 T
   2018-07-18 14:32:46.394158   +0.00598 T   -0.00499 T   -0.00465 T   0.00907 T
   2018-07-18 14:32:48.483815   +0.00458 T   -0.00368 T   -0.00385 T   0.00702 T
   2018-07-18 14:32:50.573764   +0.00438 T   -0.00468 T   -0.00353 T   0.00732 T
   2018-07-18 14:32:52.663267   +0.00410 T   -0.00353 T   -0.00371 T   0.00656 T
   2018-07-18 14:32:54.753271   +0.00489 T   -0.00442 T   -0.00329 T   0.00737 T
   2018-07-18 14:32:56.842698   +0.00488 T   -0.00488 T   -0.00439 T   0.00818 T
   2018-07-18 14:32:58.932350   +0.00598 T   -0.00455 T   -0.00383 T   0.00843 T
   2018-07-18 14:33:01.022253   +0.00470 T   -0.00530 T   -0.00478 T   0.00855 T
   2018-07-18 14:33:03.111733   +0.00425 T   -0.00503 T   -0.00370 T   0.00755 T
   2018-07-18 14:33:05.201431   +0.00441 T   -0.00458 T   -0.00357 T   0.00729 T
   2018-07-18 14:33:07.291133   +0.00489 T   -0.00323 T   -0.00301 T   0.00659 T
   2018-07-18 14:33:09.380857   +0.00470 T   -0.00364 T   -0.00312 T   0.00671 T
   2018-07-18 14:33:11.470554   +0.00518 T   -0.00350 T   -0.00340 T   0.00712 T
   2018-07-18 14:33:13.560416   +0.00503 T   -0.00380 T   -0.00341 T   0.00717 T
   2018-07-18 14:33:15.649983   +0.00391 T   -0.00365 T   -0.00354 T   0.00641 T
   2018-07-18 14:33:17.740019   +0.00394 T   -0.00459 T   -0.00412 T   0.00732 T
   2018-07-18 14:33:19.829498   +0.00406 T   -0.00408 T   -0.00422 T   0.00714 T
   2018-07-18 14:33:21.919224   +0.00504 T   -0.00471 T   -0.00411 T   0.00803 T
   2018-07-18 14:33:24.008893   +0.00360 T   -0.00350 T   -0.00299 T   0.00584 T
   2018-07-18 14:33:26.098658   +0.00569 T   -0.00353 T   -0.00413 T   0.00787 T
   2018-07-18 14:33:28.188238   +0.00409 T   -0.00352 T   -0.00467 T   0.00714 T
   2018-07-18 14:33:30.278048   +0.00502 T   -0.00349 T   -0.00381 T   0.00720 T
   2018-07-18 14:33:32.367681   +0.00485 T   -0.00392 T   -0.00379 T   0.00730 T
   2018-07-18 14:33:34.457397   +0.00503 T   -0.00351 T   -0.00438 T   0.00754 T
   2018-07-18 14:33:36.547181   +0.00517 T   -0.00438 T   -0.00408 T   0.00791 T
   2018-07-18 14:33:38.636840   +0.00549 T   -0.00394 T   -0.00436 T   0.00804 T
   2018-07-18 14:33:40.726636   +0.00439 T   -0.00440 T   -0.00340 T   0.00708 T
   2018-07-18 14:33:42.816101   +0.00394 T   -0.00353 T   -0.00343 T   0.00630 T
   2018-07-18 14:33:44.905767   +0.00534 T   -0.00394 T   -0.00313 T   0.00734 T
   2018-07-18 14:33:46.995482   +0.00517 T   -0.00378 T   -0.00297 T   0.00706 T
   2018-07-18 14:33:49.085217   +0.00392 T   -0.00320 T   -0.00340 T   0.00610 T
